Size,Times(ns)
100,26263100
120,18164500
140,23943900
160,29632000
180,43266600
200,70023600
220,80635700
240,137403700
260,130292700
280,193886300
300,200052100
320,232091800
340,318584900
360,330686300
380,387937400
400,471172500
420,638135200
440,717647400
460,772139600
480,846382900
500,921797400
520,1148978200
540,1241861000
560,1591221000
580,1581093800
600,1989789100
620,2182800500
640,2117541800
660,2427071700
680,2311299500
700,2910168000
720,3476410100
740,3722302600
760,4111609800
780,4094629600
800,4443103400
820,4220664200
840,5401207700
860,5857750000
880,5732140100
900,5799351200
920,6004483700
940,6722751100
960,7137266800
980,7601597800
1000,8326106600
