Size,Times(ns)
100,28018209
120,28605894
140,17780154
160,26876285
180,36543420
200,37241238
220,53512505
240,50749221
260,67392143
280,79875690
300,121852292
320,112970971
340,136913502
360,196270508
380,261267222
400,262971113
420,356182377
440,316768636
460,377996399
480,429348584
500,430327603
520,600596174
540,610891228
560,674007589
580,741929420
600,735621737
620,1008055711
640,1000207358
660,1042911927
680,1395070701
700,1310521514
720,1577201057
740,1746667126
760,1525636378
780,1594051290
800,1825743315
820,2336334495
840,2594804648
860,2579351117
880,3055428757
900,3709954656
920,3876650287
940,5119193988
960,4244902075
980,4883439053
1000,6030839282
