Size,Times(ns)
100,42500200
120,38132700
140,21828700
160,32752200
180,43061400
200,49080300
220,62346500
240,77746500
260,88125900
280,106449300
300,126558600
320,157399600
340,180842500
360,219020900
380,259745400
400,367013500
420,335721300
440,406825400
460,449870900
480,496354600
500,551387800
520,640938600
540,713856500
560,813404400
580,1006293100
600,973046800
620,1072481100
640,1221412900
660,1297361300
680,1447735200
700,1587270000
720,1803817300
740,1873959100
760,2082363900
780,2251381300
800,2631403600
820,2719724300
840,2813613100
860,3022632100
880,3380965200
900,3500553400
920,3884073200
940,4968632200
960,5930856800
980,6280297500
1000,6963814900
