Size,Formula1(ns),Formula2(ns)
100,15370400,24468600
120,1381100,9137900
140,1271000,11983600
160,1430700,17796000
180,1837700,24323000
200,1434200,32144200
220,1067000,62242400
240,1048200,53367800
260,1012700,66084200
280,1100800,81474400
300,1173300,101294900
320,1218800,120560200
340,1110800,145723400
360,1340600,227292200
380,1225800,203380700
400,1281200,235619500
420,1332000,269926600
440,1574400,371572100
460,1406100,354685100
480,5011500,396907700
500,1425300,502066400
520,2014700,528288200
540,1652200,600828200
560,1528400,671697900
580,1851800,802457700
600,1498000,858610000
620,1637800,795019400
640,2219500,936824200
660,2266000,975057000
680,1640900,1210714900
700,1866700,1323979700
720,1747700,1560105800
740,2158700,1791299600
760,2374800,2098047600
780,3852000,2088909900
800,2343100,2172645200
820,2201600,2324207700
840,2119800,3158577900
860,2438400,3366717000
880,3062800,3878870500
900,2743600,4668563400
920,3386100,4542959500
940,3131800,6198320100
960,2607000,6330137700
980,3779600,8150038600
1000,3442300,7178200100
